team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
West Indies,Sri Lanka,237,240,8,3,Sri Lanka,Day and night,Wills Quadrangular Tournament,Arjuna Ranatunga,Sri Lanka,Sri Lanka,field first,Pakistan,away,1997
South Africa,Pakistan,271,262,10,9,South Africa,Day and night,Wills Quadrangular Tournament,Shaun Pollock,South Africa,Pakistan,field first,Pakistan,away,1997
West Indies,South Africa,293,297,8,5,South Africa,Day and night,Wills Quadrangular Tournament,Hansie Cronje,South Africa,South Africa,field first,Pakistan,away,1997
West Indies,Pakistan,215,219,7,2,Pakistan,Day and night,Wills Quadrangular Tournament,Saeed Anwar,Pakistan,Pakistan,field first,Pakistan,home,1997
Pakistan,Sri Lanka,280,281,10,2,Sri Lanka,Day and night,Wills Quadrangular Tournament,Sanath Jayasuriya,Sri Lanka,Sri Lanka,field first,Pakistan,away,1997
South Africa,Sri Lanka,311,245,9,9,South Africa,Day and night,Wills Quadrangular Tournament,Lance Klusener,South Africa,Sri Lanka,field first,Pakistan,away,1997
Sri Lanka,South Africa,209,210,7,6,South Africa,Day and night,Wills Quadrangular Tournament,Lance Klusener,South Africa,South Africa,field first,Pakistan,away,1997
South Africa,Australia,200,133,10,10,South Africa,Day and night,Carlton & United Series,Pat Symcox,South Africa,South Africa,bat first,Australia,away,1997
New Zealand,South Africa,224,177,6,10,New Zealand,Day and night,Carlton & United Series,Craig McMillan,New Zealand,South Africa,field first,Australia,away,1997
New Zealand,Australia,260,263,7,7,Australia,Day and night,Carlton & United Series,Mark Waugh,Australia,New Zealand,bat first,Australia,home,1997
South Africa,Australia,170,125,8,10,South Africa,Day and night,Carlton & United Series,Lance Klusener,South Africa,South Africa,bat first,Australia,away,1997
South Africa,New Zealand,174,173,9,7,South Africa,Day,Carlton & United Series,Lance Klusener,South Africa,South Africa,bat first,Australia,away,1997
England,India,250,243,10,10,England,Day and night,Akai-Singer Champions Trophy,Alec Stewart,England,India,field first,United Arab Emirates,away,1997
West Indies,Pakistan,275,232,7,10,West Indies,Day and night,Akai-Singer Champions Trophy,Brian Lara,West Indies,West Indies,bat first,United Arab Emirates,away,1997
West Indies,England,197,198,7,6,England,Day and night,Akai-Singer Champions Trophy,Carl Hooper,West Indies,West Indies,bat first,United Arab Emirates,away,1997
India,Pakistan,239,243,7,6,Pakistan,Day and night,Akai-Singer Champions Trophy,Saeed Anwar,Pakistan,India,bat first,United Arab Emirates,away,1997
England,Pakistan,215,207,9,10,England,Day and night,Akai-Singer Champions Trophy,Manzoor Akhtar,Pakistan,England,bat first,United Arab Emirates,away,1997
West Indies,India,229,188,6,10,West Indies,Day and night,Akai-Singer Champions Trophy,Stuart Williams,West Indies,India,field first,United Arab Emirates,away,1997
New Zealand,Australia,141,142,10,4,Australia,Day and night,Carlton & United Series,Michael Bevan,Australia,New Zealand,bat first,Australia,home,1997
West Indies,England,235,239,7,7,England,Day and night,Akai-Singer Champions Trophy,Graham Thorpe,England,West Indies,bat first,United Arab Emirates,away,1997
Sri Lanka,India,172,173,9,3,India,Day,Sri Lanka tour of India,Robin Singh,India,India,field first,India,home,1997
India,Sri Lanka,228,229,6,5,Sri Lanka,Day,Sri Lanka tour of India,Aravinda de Silva,Sri Lanka,India,bat first,India,away,1997
South Africa,New Zealand,300,298,6,9,South Africa,Day and night,Carlton & United Series,Gary Kirsten,South Africa,South Africa,bat first,Australia,away,1998
Bangladesh,India,190,191,10,6,India,Day,Silver Jubilee Independence Cup,Javagal Srinath,India,India,field first,Bangladesh,away,1998
India,Pakistan,245,227,7,9,India,Day,Silver Jubilee Independence Cup,Mohammad Azharuddin,India,Pakistan,field first,Bangladesh,away,1998
Australia,South Africa,235,236,8,5,South Africa,Day and night,Carlton & United Series,Gary Kirsten,South Africa,Australia,bat first,Australia,away,1998
Bangladesh,Pakistan,134,136,10,1,Pakistan,Day,Silver Jubilee Independence Cup,Saqlain Mushtaq,Pakistan,Pakistan,field first,Bangladesh,away,1998
Pakistan,India,212,213,8,2,India,Day,Silver Jubilee Independence Cup,Sachin Tendulkar,India,Pakistan,bat first,Bangladesh,away,1998
Australia,New Zealand,250,119,10,10,Australia,Day and night,Carlton & United Series,Ricky Ponting,Australia,Australia,bat first,Australia,home,1998
India,Pakistan,189,193,10,4,Pakistan,Day,Silver Jubilee Independence Cup,Mohammad Hussain,Pakistan,India,bat first,Bangladesh,away,1998
South Africa,New Zealand,233,166,7,10,South Africa,Day and night,Carlton & United Series,Jacques Kallis,South Africa,South Africa,bat first,Australia,away,1998
Pakistan,India,314,316,5,7,India,Day,Silver Jubilee Independence Cup,Sourav Ganguly,India,India,field first,Bangladesh,away,1998
Australia,South Africa,165,170,10,3,South Africa,Day and night,Carlton & United Series,Allan Donald,South Africa,Australia,bat first,Australia,away,1998
Australia,New Zealand,251,253,4,6,New Zealand,Day and night,Carlton & United Series,Stephen Fleming,New Zealand,Australia,bat first,Australia,away,1998
Zimbabwe,Sri Lanka,207,210,10,5,Sri Lanka,Day,Zimbabwe tour of Sri Lanka,Arjuna Ranatunga,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,1998
South Africa,Australia,241,235,9,10,South Africa,Day and night,Carlton & United Series,Allan Donald,South Africa,South Africa,bat first,Australia,away,1998
Zimbabwe,Sri Lanka,212,213,8,5,Sri Lanka,Day,Zimbabwe tour of Sri Lanka,Murray Goodwin,Zimbabwe,Zimbabwe,bat first,Sri Lanka,home,1998
South Africa,Australia,228,229,6,3,Australia,Day and night,Carlton & United Series,Adam Gilchrist,Australia,South Africa,bat first,Australia,home,1998
Zimbabwe,Sri Lanka,281,286,6,6,Sri Lanka,Day,Zimbabwe tour of Sri Lanka,Sanath Jayasuriya,Sri Lanka,Zimbabwe,bat first,Sri Lanka,home,1998
Australia,South Africa,247,233,7,10,Australia,Day and night,Carlton & United Series,Ricky Ponting,Australia,Australia,bat first,Australia,home,1998
New Zealand,Zimbabwe,248,208,7,10,New Zealand,Day,Zimbabwe tour of New Zealand,Chris Harris,New Zealand,New Zealand,bat first,New Zealand,home,1998
Zimbabwe,New Zealand,138,139,10,2,New Zealand,Day,Zimbabwe tour of New Zealand,Shayne O'Connor,New Zealand,New Zealand,field first,New Zealand,home,1998
New Zealand,Australia,212,215,7,3,Australia,Day and night,Australia tour of New Zealand,Adam Gilchrist,Australia,New Zealand,bat first,New Zealand,away,1998
Australia,New Zealand,297,231,6,10,Australia,Day,Australia tour of New Zealand,Mark Waugh,Australia,Australia,bat first,New Zealand,away,1998
Australia,New Zealand,236,240,10,3,New Zealand,Day and night,Australia tour of New Zealand,Stephen Fleming,New Zealand,Australia,bat first,New Zealand,home,1998
New Zealand,Australia,223,193,7,10,New Zealand,Day,Australia tour of New Zealand,Chris Harris,New Zealand,Australia,field first,New Zealand,home,1998
Zimbabwe,New Zealand,228,227,7,9,Zimbabwe,Day and night,Zimbabwe tour of New Zealand,Murray Goodwin,Zimbabwe,New Zealand,field first,New Zealand,away,1998
Zimbabwe,New Zealand,207,211,8,1,New Zealand,Day and night,Zimbabwe tour of New Zealand,Nathan Astle,New Zealand,Zimbabwe,bat first,New Zealand,home,1998
New Zealand,Zimbabwe,231,229,9,9,New Zealand,Day,Zimbabwe tour of New Zealand,Daniel Vettori,New Zealand,New Zealand,bat first,New Zealand,home,1998
Zimbabwe,Pakistan,236,237,6,6,Pakistan,Day,Pakistan tour of Zimbabwe,Aamer Sohail,Pakistan,Pakistan,field first,Zimbabwe,away,1998
Zimbabwe,Pakistan,272,276,4,6,Pakistan,Day,Pakistan tour of Zimbabwe,Mohammad Wasim,Pakistan,Pakistan,field first,Zimbabwe,away,1998
England,West Indies,293,277,5,10,England,Day,England tour of West Indies,Nick Knight,England,West Indies,field first,West Indies,away,1998
India,Australia,309,268,5,10,India,Day,Pepsi Triangular Series,Sachin Tendulkar,India,India,bat first,India,home,1998
England,West Indies,266,267,10,9,West Indies,Day,England tour of West Indies,Nick Knight,England,West Indies,field first,West Indies,home,1998
Australia,Zimbabwe,252,239,7,10,Australia,Day,Pepsi Triangular Series,Alistair Campbell,Zimbabwe,Australia,bat first,India,away,1998
South Africa,Pakistan,280,228,4,10,South Africa,Day and night,Standard Bank International One-Day Series,Jacques Kallis,South Africa,South Africa,bat first,South Africa,home,1998
England,West Indies,209,213,8,5,West Indies,Day,England tour of West Indies,Carl Hooper,West Indies,England,bat first,West Indies,home,1998
India,Zimbabwe,274,261,5,10,India,Day,Pepsi Triangular Series,Hrishikesh Kanitkar,India,Zimbabwe,field first,India,home,1998
South Africa,Sri Lanka,266,209,8,10,South Africa,Day,Standard Bank International One-Day Series,Roger Telemachus,South Africa,South Africa,bat first,South Africa,home,1998
England,West Indies,149,150,10,6,West Indies,Day,England tour of West Indies,Brian Lara,West Indies,England,bat first,West Indies,home,1998
Australia,India,222,223,9,4,India,Day,Pepsi Triangular Series,Sachin Tendulkar,India,Australia,bat first,India,home,1998
Sri Lanka,Pakistan,295,300,7,6,Pakistan,Day,Standard Bank International One-Day Series,Inzamam-ul-Haq,Pakistan,Sri Lanka,bat first,South Africa,away,1998
West Indies,England,302,245,5,10,West Indies,Day,England tour of West Indies,Clayton Lambert,West Indies,West Indies,bat first,West Indies,home,1998
India,Zimbabwe,301,269,3,10,India,Day,Pepsi Triangular Series,Mohammad Azharuddin,India,Zimbabwe,field first,India,home,1998
Pakistan,Sri Lanka,249,139,10,10,Pakistan,Day and night,Standard Bank International One-Day Series,Wasim Akram,Pakistan,Pakistan,bat first,South Africa,away,1998
Australia,Zimbabwe,294,278,3,9,Australia,Day,Pepsi Triangular Series,Ricky Ponting,Australia,Zimbabwe,field first,India,away,1998
Pakistan,South Africa,250,254,8,7,South Africa,Day,Standard Bank International One-Day Series,Hansie Cronje,South Africa,South Africa,field first,South Africa,home,1998
South Africa,Sri Lanka,231,232,10,4,Sri Lanka,Day,Standard Bank International One-Day Series,Arjuna Ranatunga,Sri Lanka,South Africa,bat first,South Africa,away,1998
India,Australia,227,231,10,6,Australia,Day,Pepsi Triangular Series,Steve Waugh,Australia,India,bat first,India,away,1998
Sri Lanka,Pakistan,288,173,10,10,Sri Lanka,Day,Standard Bank International One-Day Series,Marvan Atapattu,Sri Lanka,Pakistan,field first,South Africa,away,1998
Pakistan,South Africa,145,149,10,3,South Africa,Day,Standard Bank International One-Day Series,Jacques Kallis,South Africa,Pakistan,bat first,South Africa,home,1998
India,New Zealand,220,205,9,10,India,Day and night,Coca-Cola Cup,Ajit Agarkar,India,India,bat first,United Arab Emirates,away,1998
New Zealand,Australia,159,160,10,4,Australia,Day and night,Coca-Cola Cup,Damien Fleming,Australia,New Zealand,bat first,United Arab Emirates,away,1998
Sri Lanka,South Africa,105,106,10,5,South Africa,Day,Standard Bank International One-Day Series,Roger Telemachus,South Africa,South Africa,field first,South Africa,home,1998
Australia,India,264,206,9,10,Australia,Day and night,Coca-Cola Cup,Sachin Tendulkar,India,Australia,bat first,United Arab Emirates,away,1998
India,New Zealand,181,183,10,6,New Zealand,Day and night,Coca-Cola Cup,Craig McMillan,New Zealand,India,bat first,United Arab Emirates,away,1998
New Zealand,Australia,259,261,5,5,Australia,Day and night,Coca-Cola Cup,Tom Moody,Australia,New Zealand,bat first,United Arab Emirates,away,1998
Australia,India,284,250,7,5,Australia,Day and night,Coca-Cola Cup,Sachin Tendulkar,India,Australia,bat first,United Arab Emirates,away,1998
Pakistan,South Africa,114,115,10,1,South Africa,Day,Standard Bank International One-Day Series,Lance Klusener,South Africa,South Africa,field first,South Africa,home,1998
Australia,India,272,275,9,4,India,Day and night,Coca-Cola Cup,Sachin Tendulkar,India,India,field first,United Arab Emirates,away,1998
Bangladesh,India,184,185,9,5,India,Day and night,Coca-Cola Triangular Series,Ajay Jadeja,India,India,field first,India,home,1998
Kenya,Bangladesh,236,237,10,4,Bangladesh,Day and night,Coca-Cola Triangular Series,Mohammad Rafique,Bangladesh,Kenya,bat first,India,away,1998
Kenya,India,223,224,9,6,India,Day and night,Coca-Cola Triangular Series,Gagan Khoda,India,India,field first,India,home,1998
England,South Africa,223,224,9,7,South Africa,Day,South Africa tour of England,Jacques Kallis,South Africa,South Africa,field first,England,away,1998
Kenya,Bangladesh,226,198,8,10,Kenya,Day and night,Coca-Cola Triangular Series,Steve Tikolo,Kenya,Kenya,bat first,India,away,1998
South Africa,England,226,194,9,10,South Africa,Day,South Africa tour of England,Lance Klusener,South Africa,England,field first,England,away,1998
South Africa,England,205,206,8,3,England,Day,South Africa tour of England,Ali Brown,England,South Africa,bat first,England,home,1998
Bangladesh,India,115,116,10,5,India,Day and night,Coca-Cola Triangular Series,Anil Kumble,India,Bangladesh,bat first,India,home,1998
Kenya,India,265,196,5,10,Kenya,Day and night,Coca-Cola Triangular Series,Maurice Odumbe,Kenya,Kenya,bat first,India,away,1998
Kenya,India,196,197,10,1,India,Day and night,Coca-Cola Triangular Series,Sachin Tendulkar,India,Kenya,bat first,India,home,1998
Sri Lanka,India,243,246,6,2,India,Day and night,Singer-Akai Nidahas Trophy,Sourav Ganguly,India,Sri Lanka,bat first,Sri Lanka,away,1998
New Zealand,Sri Lanka,200,201,9,3,Sri Lanka,Day and night,Singer-Akai Nidahas Trophy,Marvan Atapattu,Sri Lanka,New Zealand,bat first,Sri Lanka,home,1998
Sri Lanka,India,171,163,8,10,Sri Lanka,Day,Singer-Akai Nidahas Trophy,Aravinda de Silva,Sri Lanka,India,field first,Sri Lanka,home,1998
Sri Lanka,New Zealand,293,206,4,10,Sri Lanka,Day,Singer-Akai Nidahas Trophy,Arjuna Ranatunga,Sri Lanka,New Zealand,field first,Sri Lanka,home,1998
India,Sri Lanka,307,301,6,10,India,Day and night,Singer-Akai Nidahas Trophy,Sachin Tendulkar,India,India,bat first,Sri Lanka,away,1998
Sri Lanka,South Africa,258,201,10,10,Sri Lanka,Day,Emirates Triangular Tournament,Pramodya Wickramasinghe,Sri Lanka,South Africa,field first,England,away,1998
England,Sri Lanka,247,211,10,10,England,Day,Emirates Triangular Tournament,Graeme Hick,England,Sri Lanka,field first,England,home,1998
South Africa,England,244,230,7,10,South Africa,Day,Emirates Triangular Tournament,Pat Symcox,South Africa,South Africa,bat first,England,away,1998
England,Sri Lanka,256,260,8,5,Sri Lanka,Day,Emirates Triangular Tournament,Muthiah Muralidaran,Sri Lanka,England,bat first,England,away,1998
Pakistan,India,189,193,9,4,India,Day,Pakistan tour of Canada,Sourav Ganguly,India,India,field first,Canada,away,1998
Pakistan,India,246,195,9,10,Pakistan,Day,Pakistan tour of Canada,Moin Khan,Pakistan,India,field first,Canada,away,1998
Pakistan,India,257,180,5,10,Pakistan,Day,Pakistan tour of Canada,Inzamam-ul-Haq,Pakistan,India,field first,Canada,away,1998
Pakistan,India,316,182,6,10,Pakistan,Day,Pakistan tour of Canada,Shahid Afridi,Pakistan,India,field first,Canada,away,1998
India,Pakistan,256,258,9,5,Pakistan,Day,Pakistan tour of Canada,Aamer Sohail,Pakistan,India,bat first,Canada,away,1998
Zimbabwe,India,213,216,10,2,India,Day,India tour of Zimbabwe,Sachin Tendulkar,India,India,field first,Zimbabwe,away,1998
Zimbabwe,India,235,236,7,2,India,Day,India tour of Zimbabwe,Sourav Ganguly,India,India,field first,Zimbabwe,away,1998
Zimbabwe,India,259,222,5,10,Zimbabwe,Day,India tour of Zimbabwe,Craig Wishart,Zimbabwe,India,field first,Zimbabwe,home,1998
Zimbabwe,New Zealand,258,260,7,5,New Zealand,Day and night,Wills International Cup,Stephen Fleming,New Zealand,Zimbabwe,bat first,Bangladesh,away,1998
England,South Africa,281,283,7,4,South Africa,Day and night,Wills International Cup,Daryll Cullinan,South Africa,England,bat first,Bangladesh,away,1998
New Zealand,Sri Lanka,188,191,10,5,Sri Lanka,Day and night,Wills International Cup,Arjuna Ranatunga,Sri Lanka,Sri Lanka,field first,Bangladesh,away,1998
India,Australia,307,263,8,10,India,Day and night,Wills International Cup,Sachin Tendulkar,India,Australia,field first,Bangladesh,away,1998
West Indies,Pakistan,289,259,9,9,West Indies,Day and night,Wills International Cup,Keith Arthurton,West Indies,West Indies,bat first,Bangladesh,away,1998
South Africa,Sri Lanka,240,132,7,10,South Africa,Day and night,Wills International Cup,Jacques Kallis,South Africa,Sri Lanka,field first,Bangladesh,away,1998
India,West Indies,242,245,6,4,West Indies,Day and night,Wills International Cup,Mervyn Dillon,West Indies,India,bat first,Bangladesh,away,1998
West Indies,South Africa,245,248,10,6,South Africa,Day and night,Wills International Cup,Jacques Kallis,South Africa,South Africa,field first,Bangladesh,away,1998
Australia,Pakistan,324,238,8,10,Australia,Day,Australia tour of Pakistan,Darren Lehmann,Australia,Pakistan,field first,Pakistan,away,1998
Sri Lanka,India,245,248,7,7,India,Day and night,Coca-Cola Champions Trophy,Mohammad Azharuddin,India,India,field first,United Arab Emirates,away,1998
Sri Lanka,Zimbabwe,196,197,10,3,Zimbabwe,Day and night,Coca-Cola Champions Trophy,Eddo Brandes,Zimbabwe,Zimbabwe,field first,United Arab Emirates,away,1998
Pakistan,Australia,217,220,7,5,Australia,Day,Australia tour of Pakistan,Brendon Julian,Australia,Pakistan,bat first,Pakistan,away,1998
Zimbabwe,India,196,197,10,3,India,Day and night,Coca-Cola Champions Trophy,Sachin Tendulkar,India,India,field first,United Arab Emirates,away,1998
India,Sri Lanka,179,98,10,10,India,Day and night,Coca-Cola Champions Trophy,Ajit Agarkar,India,Sri Lanka,field first,United Arab Emirates,away,1998
Pakistan,Australia,315,316,8,4,Australia,Day,Australia tour of Pakistan,Ricky Ponting,Australia,Pakistan,bat first,Pakistan,away,1998
Zimbabwe,Sri Lanka,259,235,7,10,Zimbabwe,Day and night,Coca-Cola Champions Trophy,Paul Strang,Zimbabwe,Sri Lanka,field first,United Arab Emirates,away,1998
Zimbabwe,India,205,192,7,10,Zimbabwe,Day and night,Coca-Cola Champions Trophy,Henry Olonga,Zimbabwe,India,field first,United Arab Emirates,away,1998
Zimbabwe,India,196,197,9,0,India,Day and night,Coca-Cola Champions Trophy,Sachin Tendulkar,India,India,field first,United Arab Emirates,away,1998
Zimbabwe,Pakistan,237,241,10,6,Pakistan,Day,Zimbabwe tour of Pakistan,Aamer Sohail,Pakistan,Pakistan,field first,Pakistan,home,1998
Pakistan,Zimbabwe,211,212,10,4,Zimbabwe,Day,Zimbabwe tour of Pakistan,Neil Johnson,Zimbabwe,Zimbabwe,field first,Pakistan,away,1998
Pakistan,Zimbabwe,302,191,6,10,Pakistan,Day,Zimbabwe tour of Pakistan,Ijaz Ahmed,Pakistan,Zimbabwe,field first,Pakistan,home,1998
India,New Zealand,257,200,5,5,New Zealand,Day and night,India tour of New Zealand,Rahul Dravid,India,India,bat first,New Zealand,home,1999
England,Australia,178,145,8,9,England,Day and night,Carlton & United Series,Alan Mullally,England,England,bat first,Australia,away,1999
Sri Lanka,England,207,208,7,6,England,Day and night,Carlton & United Series,Neil Fairbrother,England,Sri Lanka,bat first,Australia,away,1999
New Zealand,India,213,214,10,8,India,Day and night,India tour of New Zealand,Matt Horne,New Zealand,India,field first,New Zealand,away,1999
Sri Lanka,Australia,259,260,9,2,Australia,Day and night,Carlton & United Series,Adam Gilchrist,Australia,Sri Lanka,bat first,Australia,home,1999
England,Australia,178,182,10,1,Australia,Day and night,Carlton & United Series,Mark Waugh,Australia,England,bat first,Australia,home,1999
New Zealand,India,207,208,7,5,India,Day,India tour of New Zealand,Rahul Dravid,India,India,field first,New Zealand,away,1999
England,Australia,282,275,4,6,England,Day and night,Carlton & United Series,Graeme Hick,England,England,bat first,Australia,away,1999
New Zealand,India,300,230,8,10,New Zealand,Day and night,India tour of New Zealand,Chris Cairns,New Zealand,India,field first,New Zealand,home,1999
Sri Lanka,England,186,189,10,3,England,Day and night,Carlton & United Series,Darren Gough,England,Sri Lanka,bat first,Australia,away,1999
Australia,Sri Lanka,210,211,9,7,Sri Lanka,Day,Carlton & United Series,Marvan Atapattu,Sri Lanka,Sri Lanka,field first,Australia,away,1999
West Indies,South Africa,154,160,4,8,South Africa,Day and night,West Indies tour of South Africa,Carl Hooper,West Indies,South Africa,field first,South Africa,home,1999
England,Sri Lanka,302,303,3,9,Sri Lanka,Day and night,Carlton & United Series,Mahela Jayawardene,Sri Lanka,Sri Lanka,field first,Australia,away,1999
Australia,Sri Lanka,270,190,10,10,Australia,Day and night,Carlton & United Series,Glenn McGrath,Australia,Sri Lanka,field first,Australia,home,1999
West Indies,South Africa,292,249,9,10,West Indies,Day,West Indies tour of South Africa,Shivnarine Chanderpaul,West Indies,South Africa,field first,South Africa,away,1999
Australia,England,239,223,8,10,Australia,Day and night,Carlton & United Series,Graeme Hick,England,Australia,bat first,Australia,home,1999
South Africa,West Indies,274,219,9,10,South Africa,Day and night,West Indies tour of South Africa,Hansie Cronje,South Africa,South Africa,bat first,South Africa,home,1999
England,Sri Lanka,227,99,7,10,England,Day and night,Carlton & United Series,Mark Ealham,England,Sri Lanka,field first,Australia,away,1999
South Africa,West Indies,278,179,6,10,South Africa,Day,West Indies tour of South Africa,Herschelle Gibbs,South Africa,West Indies,field first,South Africa,home,1999
Australia,Sri Lanka,274,229,7,10,Australia,Day,Carlton & United Series,Ricky Ponting,Australia,Sri Lanka,field first,Australia,home,1999
South Africa,West Indies,221,132,8,10,South Africa,Day and night,West Indies tour of South Africa,Lance Klusener,South Africa,South Africa,bat first,South Africa,home,1999
Sri Lanka,England,181,170,7,9,Sri Lanka,Day and night,Carlton & United Series,Thilan Samaraweera,Sri Lanka,England,field first,Australia,away,1999
England,Australia,210,211,8,6,Australia,Day and night,Carlton & United Series,Damien Martyn,Australia,England,bat first,Australia,home,1999
South Africa,West Indies,273,159,10,10,South Africa,Day,West Indies tour of South Africa,Hansie Cronje,South Africa,South Africa,bat first,South Africa,home,1999
Australia,Sri Lanka,310,267,8,10,Australia,Day,Carlton & United Series,Adam Gilchrist,Australia,Australia,bat first,Australia,home,1999
South Africa,West Indies,226,176,8,10,South Africa,Day,West Indies tour of South Africa,Jacques Kallis,South Africa,South Africa,bat first,South Africa,home,1999
Australia,England,232,222,8,10,Australia,Day and night,Carlton & United Series,Michael Bevan,Australia,Australia,bat first,Australia,home,1999
Australia,England,272,110,5,10,Australia,Day and night,Carlton & United Series,Darren Lehmann,Australia,Australia,bat first,Australia,home,1999
South Africa,New Zealand,211,215,10,7,New Zealand,Day and night,South Africa tour of New Zealand,Nathan Astle,New Zealand,New Zealand,field first,New Zealand,home,1999
New Zealand,South Africa,220,224,9,3,South Africa,Day and night,South Africa tour of New Zealand,Gary Kirsten,South Africa,New Zealand,bat first,New Zealand,away,1999
South Africa,New Zealand,212,215,7,3,New Zealand,Day,South Africa tour of New Zealand,Nathan Astle,New Zealand,New Zealand,field first,New Zealand,home,1999
Pakistan,Bangladesh,293,141,7,10,Pakistan,Day and night,Pakistan tour of Bangladesh,Inzamam-ul-Haq,Pakistan,Bangladesh,field first,Bangladesh,away,1999
Pakistan,Sri Lanka,246,237,9,10,Pakistan,Day,Pepsi Cup,Wasim Akram,Pakistan,Pakistan,bat first,India,away,1999
Zimbabwe,Kenya,272,139,6,10,Zimbabwe,Day and night,Meril International Cricket Tournament,Paul Strang,Zimbabwe,Zimbabwe,bat first,Bangladesh,away,1999
Bangladesh,Kenya,213,215,10,2,Kenya,Day and night,Meril International Cricket Tournament,Steve Tikolo,Kenya,Bangladesh,bat first,Bangladesh,away,1999
Zimbabwe,Bangladesh,310,184,6,10,Zimbabwe,Day and night,Meril International Cricket Tournament,Andy Flower,Zimbabwe,Zimbabwe,bat first,Bangladesh,away,1999
India,Sri Lanka,287,207,4,10,India,Day,Pepsi Cup,Sourav Ganguly,India,Sri Lanka,field first,India,home,1999
Zimbabwe,Kenya,280,216,6,8,Zimbabwe,Day and night,Meril International Cricket Tournament,Neil Johnson,Zimbabwe,Zimbabwe,bat first,Bangladesh,away,1999
Pakistan,India,278,135,9,10,Pakistan,Day,Pepsi Cup,Saeed Anwar,Pakistan,Pakistan,bat first,India,away,1999
Kenya,Bangladesh,231,158,10,10,Kenya,Day and night,Meril International Cricket Tournament,Kennedy Otieno,Kenya,Kenya,bat first,Bangladesh,away,1999
Bangladesh,Zimbabwe,257,261,5,7,Zimbabwe,Day and night,Meril International Cricket Tournament,Alistair Campbell,Zimbabwe,Bangladesh,bat first,Bangladesh,away,1999
New Zealand,South Africa,191,194,10,8,South Africa,Day,South Africa tour of New Zealand,Lance Klusener,South Africa,South Africa,field first,New Zealand,away,1999
South Africa,New Zealand,290,147,5,10,South Africa,Day and night,South Africa tour of New Zealand,Daryll Cullinan,South Africa,South Africa,bat first,New Zealand,away,1999
Sri Lanka,Pakistan,253,241,8,10,Sri Lanka,Day,Pepsi Cup,Mahela Jayawardene,Sri Lanka,Sri Lanka,bat first,India,away,1999
Zimbabwe,Kenya,325,123,6,10,Zimbabwe,Day and night,Meril International Cricket Tournament,Grant Flower,Zimbabwe,Zimbabwe,bat first,Bangladesh,away,1999
India,Sri Lanka,286,235,6,10,India,Day,Pepsi Cup,Ajay Jadeja,India,Sri Lanka,field first,India,home,1999
India,Pakistan,196,197,10,3,Pakistan,Day and night,Pepsi Cup,Ijaz Ahmed,Pakistan,India,bat first,India,away,1999
Pakistan,India,291,168,8,10,Pakistan,Day and night,Pepsi Cup,Azhar Mahmood,Pakistan,Pakistan,bat first,India,away,1999
Pakistan,England,323,233,5,10,Pakistan,Day and night,Coca-Cola Cup,Ijaz Ahmed,Pakistan,Pakistan,bat first,United Arab Emirates,away,1999
Pakistan,India,279,163,8,6,Pakistan,Day and night,Coca-Cola Cup,Inzamam-ul-Haq,Pakistan,Pakistan,bat first,United Arab Emirates,away,1999
India,England,222,202,5,10,India,Day and night,Coca-Cola Cup,Ajay Jadeja,India,India,bat first,United Arab Emirates,away,1999
India,England,239,230,6,10,India,Day and night,Coca-Cola Cup,Venkatesh Prasad,India,India,bat first,United Arab Emirates,away,1999
West Indies,Australia,209,165,10,10,West Indies,Day,Australia tour of West Indies,Hendy Bryan,West Indies,Australia,field first,West Indies,home,1999
England,Pakistan,206,144,10,10,England,Day and night,Coca-Cola Cup,Mark Ealham,England,England,bat first,United Arab Emirates,away,1999
Pakistan,India,205,206,9,4,India,Day and night,Coca-Cola Cup,Sadagoppan Ramesh,India,Pakistan,bat first,United Arab Emirates,away,1999
Australia,West Indies,288,242,4,10,Australia,Day,Australia tour of West Indies,Darren Lehmann,Australia,Australia,bat first,Grenada,away,1999
India,Pakistan,125,129,10,2,Pakistan,Day and night,Coca-Cola Cup,Wasim Akram,Pakistan,India,bat first,United Arab Emirates,away,1999
Australia,West Indies,242,244,7,5,West Indies,Day,Australia tour of West Indies,Jimmy Adams,West Indies,Australia,bat first,West Indies,home,1999
Australia,West Indies,189,169,9,10,Australia,Day,Australia tour of West Indies,Shane Warne,Australia,Australia,bat first,West Indies,away,1999
West Indies,Australia,173,173,5,7,Match tied,Day,Australia tour of West Indies,Steve Waugh,Australia,Australia,field first,Guyana,away,1999
West Indies,Australia,249,253,8,6,Australia,Day,Australia tour of West Indies,Adam Gilchrist,Australia,West Indies,bat first,West Indies,away,1999
Australia,West Indies,252,197,9,2,West Indies,Day,Australia tour of West Indies,Sherwin Campbell,West Indies,Australia,bat first,West Indies,home,1999
Sri Lanka,England,204,207,10,2,England,Day,ICC World Cup,Alec Stewart,England,England,field first,England,home,1999
India,South Africa,253,254,5,6,South Africa,Day,ICC World Cup,Jacques Kallis,South Africa,India,bat first,England,away,1999
Kenya,Zimbabwe,229,231,7,5,Zimbabwe,Day,ICC World Cup,Neil Johnson,Zimbabwe,Zimbabwe,field first,England,away,1999
