team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
Bangladesh,England,190,192,10,0,England,Day,NatWest Series,Marcus Trescothick,England,England,field first,England,home,2005
Australia,Bangladesh,249,250,5,5,Bangladesh,Day,NatWest Series,Mohammad Ashraful,Bangladesh,Australia,bat first,Wales,away,2005
Australia,England,252,253,9,7,England,Day,NatWest Series,Kevin Pietersen,England,Australia,bat first,England,home,2005
England,Bangladesh,391,223,4,10,England,Day and night,NatWest Series,Paul Collingwood,England,England,bat first,England,home,2005
Australia,England,266,209,5,9,Australia,Day and night,NatWest Series,Andrew Symonds,Australia,England,field first,England,away,2005
Bangladesh,Australia,139,140,10,0,Australia,Day,NatWest Series,Andrew Symonds,Australia,Australia,field first,England,away,2005
Bangladesh,England,208,209,7,5,England,Day,NatWest Series,Andrew Strauss,England,Bangladesh,bat first,England,home,2005
Bangladesh,Australia,250,254,8,4,Australia,Day,NatWest Series,Shahriar Nafees,Bangladesh,Australia,field first,England,away,2005
Australia,England,196,196,10,9,Match tied,Day,NatWest Series,Geraint Jones,England,England,field first,England,away,2005
Australia,England,219,221,7,1,England,Day,Australia tour of England and Scotland,Marcus Trescothick,England,England,field first,England,home,2005
England,Australia,223,224,8,3,Australia,Day,Australia tour of England and Scotland,Brett Lee,Australia,Australia,field first,England,away,2005
England,Australia,228,229,7,2,Australia,Day,Australia tour of England and Scotland,Adam Gilchrist,Australia,Australia,field first,England,away,2005
India,Sri Lanka,205,209,9,7,Sri Lanka,Day and night,Indian Oil Cup,Sanath Jayasuriya,Sri Lanka,India,bat first,Sri Lanka,home,2005
West Indies,India,178,180,10,4,India,Day and night,Indian Oil Cup,Rahul Dravid,India,West Indies,bat first,Sri Lanka,away,2005
Sri Lanka,West Indies,241,191,6,10,Sri Lanka,Day and night,Indian Oil Cup,Farveez Maharoof,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2005
India,Sri Lanka,220,221,8,6,Sri Lanka,Day and night,Indian Oil Cup,Mahela Jayawardene,Sri Lanka,India,bat first,Sri Lanka,home,2005
West Indies,Sri Lanka,226,193,7,10,West Indies,Day and night,Indian Oil Cup,Omari Banks,West Indies,West Indies,bat first,Sri Lanka,away,2005
India,West Indies,262,255,4,9,India,Day and night,Indian Oil Cup,Yuvraj Singh,India,India,bat first,Sri Lanka,away,2005
Sri Lanka,India,281,263,9,9,Sri Lanka,Day and night,Indian Oil Cup,Mahela Jayawardene,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2005
Africa XI,Asia XI,198,196,10,10,South Africa,Day and night,Africa XI tour of South Africa,Ashwell Prince,Africa XI,Asia XI,field first,South Africa,away,2005
New Zealand,Zimbabwe,397,205,5,10,New Zealand,Day,Videocon Triangular Series,Lou Vincent,New Zealand,Zimbabwe,field first,Zimbabwe,away,2005
New Zealand,India,215,164,10,10,New Zealand,Day,Videocon Triangular Series,Shane Bond,New Zealand,New Zealand,bat first,Zimbabwe,away,2005
India,Zimbabwe,226,65,6,10,India,Day,Videocon Triangular Series,Irfan Pathan,India,Zimbabwe,field first,Zimbabwe,away,2005
Sri Lanka,Bangladesh,269,181,9,9,Sri Lanka,Day,Bangladesh tour of Sri Lanka,Mahela Jayawardene,Sri Lanka,Bangladesh,field first,Sri Lanka,home,2005
New Zealand,Zimbabwe,238,211,10,10,New Zealand,Day,Videocon Triangular Series,Andy Blignaut,Zimbabwe,New Zealand,bat first,Zimbabwe,away,2005
Sri Lanka,Bangladesh,295,220,5,6,Sri Lanka,Day,Bangladesh tour of Sri Lanka,Upul Tharanga,Sri Lanka,Bangladesh,field first,Sri Lanka,home,2005
New Zealand,India,278,279,9,4,India,Day,Videocon Triangular Series,Mohammad Kaif,India,New Zealand,bat first,Zimbabwe,away,2005
Bangladesh,Sri Lanka,108,106,10,4,Sri Lanka,Day,Bangladesh tour of Sri Lanka,Dilhara Fernando,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,2005
Zimbabwe,India,250,255,10,6,India,Day,Videocon Triangular Series,Yuvraj Singh,India,India,field first,Zimbabwe,away,2005
India,New Zealand,276,278,10,4,New Zealand,Day,Videocon Triangular Series,Nathan Astle,New Zealand,India,bat first,Zimbabwe,away,2005
Australia,ICC World XI,255,162,8,10,Australia,Day and night,ICC World XI tour of Australia,Shane Watson,Australia,Australia,bat first,Australia,home,2005
Australia,ICC World XI,328,273,4,10,Australia,Day and night,ICC World XI tour of Australia,Adam Gilchrist,Australia,Australia,bat first,Australia,home,2005
Australia,ICC World XI,293,137,5,10,Australia,Day and night,ICC World XI tour of Australia,Shane Watson,Australia,Australia,bat first,Australia,home,2005
New Zealand,South Africa,249,250,8,8,South Africa,Day,New Zealand tour of South Africa,Justin Kemp,South Africa,New Zealand,bat first,South Africa,home,2005
India,Sri Lanka,350,198,6,10,India,Day,Sri Lanka tour of India,Rahul Dravid,India,India,bat first,India,home,2005
Sri Lanka,India,122,123,10,2,India,Day and night,Sri Lanka tour of India,Irfan Pathan,India,India,field first,India,home,2005
South Africa,New Zealand,201,182,9,10,South Africa,Day and night,New Zealand tour of South Africa,Lou Vincent,New Zealand,South Africa,bat first,South Africa,home,2005
New Zealand,South Africa,243,245,9,6,South Africa,Day,New Zealand tour of South Africa,Herschelle Gibbs,South Africa,South Africa,field first,South Africa,home,2005
Sri Lanka,India,298,303,4,4,India,Day,Sri Lanka tour of India,MS Dhoni,India,Sri Lanka,bat first,India,home,2005
Sri Lanka,India,261,262,10,6,India,Day,Sri Lanka tour of India,Ajit Agarkar,India,India,field first,India,home,2005
New Zealand,South Africa,215,140,10,5,South Africa,Day,New Zealand tour of South Africa,Andrew Hall,South Africa,South Africa,field first,South Africa,home,2005
India,Sri Lanka,285,286,8,5,Sri Lanka,Day and night,Sri Lanka tour of India,Tillakaratne Dilshan,Sri Lanka,Sri Lanka,field first,India,away,2005
Sri Lanka,India,196,197,10,3,India,Day,Sri Lanka tour of India,RP Singh,India,India,field first,India,home,2005
Sri Lanka,India,244,245,9,5,India,Day,Sri Lanka tour of India,Irfan Pathan,India,Sri Lanka,bat first,India,home,2005
India,South Africa,249,252,9,5,South Africa,Day,South Africa tour of India,Yuvraj Singh,India,South Africa,field first,India,away,2005
South Africa,India,169,171,9,4,India,Day and night,South Africa tour of India,Irfan Pathan,India,India,field first,India,home,2005
India,South Africa,188,189,10,0,South Africa,Day and night,South Africa tour of India,Graeme Smith,South Africa,South Africa,field first,India,away,2005
South Africa,India,221,224,6,5,India,Day and night,South Africa tour of India,Rahul Dravid,India,India,field first,India,home,2005
Australia,New Zealand,252,105,8,10,Australia,Day and night,Australia tour of New Zealand,Brett Lee,Australia,New Zealand,field first,New Zealand,away,2005
Australia,New Zealand,322,320,5,10,Australia,Day and night,Australia tour of New Zealand,Andrew Symonds,Australia,Australia,bat first,New Zealand,away,2005
Australia,New Zealand,331,332,7,8,New Zealand,Day and night,Australia tour of New Zealand,Scott Styris,New Zealand,New Zealand,field first,New Zealand,home,2005
England,Pakistan,327,285,4,10,England,Day and night,England tour of Pakistan,Andrew Strauss,England,England,bat first,Pakistan,away,2005
England,Pakistan,230,231,10,3,Pakistan,Day and night,England tour of Pakistan,Shoaib Akhtar,Pakistan,England,bat first,Pakistan,home,2005
Pakistan,England,353,188,6,10,Pakistan,Day and night,England tour of Pakistan,Kamran Akmal,Pakistan,England,field first,Pakistan,home,2005
Pakistan,England,210,197,10,10,Pakistan,Day and night,England tour of Pakistan,Inzamam-ul-Haq,Pakistan,Pakistan,bat first,Pakistan,home,2005
England,Pakistan,206,200,9,9,England,Day and night,England tour of Pakistan,James Anderson,England,England,bat first,Pakistan,away,2005
Sri Lanka,New Zealand,164,166,10,3,New Zealand,Day,Sri Lanka tour of New Zealand,Peter Fulton,New Zealand,New Zealand,field first,New Zealand,home,2005
